Time between frames (s): 0.1
Time (s): 0
# NucRegions: 
# xmin, ymin, xmax, ymax
!NC, -1e-06, -1e-06, 1e-06
nActin: 10 nSubunits: 30
# actinID, SubunitID, birthtime (s), xStart (m), yStart (m), xEnd (m), yEnd (m), pointed capped, barbed capped, branch
9, 29, 0, -9.789869928e-07, -7.200587408e-07, -9.841815867e-07, -7.232086328e-07, 0, 0, 0
#--------------------------------------------------
Time (s): 0.6
# NucRegions: 
# xmin, ymin, xmax, ymax
!NC, -1e-06, -1e-06, 1e-06
nActin: 10 nSubunits: 30
# actinID, SubunitID, birthtime (s), xStart (m), yStart (m), xEnd (m), yEnd (m), pointed capped, barbed capped, branch
0, 0, 0, -7.94228394e-07, -8.684261844e-07, -7.970431356e-07, -8.646310751e-07, 0, 0, 0
0, 1, 0, -7.970431356e-07, -8.646310751e-07, -8.026726189e-07, -8.570408565e-07, 0, 0, 0
0, 2, 0, -8.026726189e-07, -8.570408565e-07, -8.054873606e-07, -8.532457473e-07, 0, 0, 0
1, 3, 0, -1.105202895e-06, -1.116660606e-06, -1.109680644e-06, -1.119678846e-06, 0, 0, 0
1, 4, 0, -1.109680644e-06, -1.119678846e-06, -1.118636141e-06, -1.125715325e-06, 0, 0, 0
1, 5, 0, -1.118636141e-06, -1.125715325e-06, -1.123113889e-06, -1.128733564e-06, 0, 0, 0
2, 6, 0, -1.109131756e-06, -7.681110983e-07, -1.113568443e-06, -7.664858495e-07, 0, 0, 0
2, 7, 0, -1.113568443e-06, -7.664858495e-07, -1.122441816e-06, -7.632353517e-07, 0, 0, 0
2, 8, 0, -1.122441816e-06, -7.632353517e-07, -1.126878503e-06, -7.616101028e-07, 0, 0, 0
3, 9, 0, -6.709084865e-07, -7.00202505e-07, -6.683087333e-07, -6.890258817e-07, 0, 0, 0
3, 10, 0, -6.683087333e-07, -6.890258817e-07, -6.631092269e-07, -6.666726351e-07, 0, 0, 0
3, 11, 0, -6.631092269e-07, -6.666726351e-07, -6.605094737e-07, -6.554960118e-07, 0, 0, 0
4, 12, 0, -1.009150993e-06, -1.016358482e-06, -1.009749661e-06, -1.026465768e-06, 0, 0, 0
4, 13, 0, -1.009749661e-06, -1.026465768e-06, -1.010946997e-06, -1.046680339e-06, 0, 0, 0
4, 14, 0, -1.010946997e-06, -1.046680339e-06, -1.011545665e-06, -1.056787624e-06, 0, 0, 0
5, 15, 0, -4.8053473e-07, -1.709104174e-06, -4.861158937e-07, -1.71150339e-06, 0, 0, 0
5, 16, 0, -4.861158937e-07, -1.71150339e-06, -4.972782212e-07, -1.716301821e-06, 0, 0, 0
5, 17, 0, -4.972782212e-07, -1.716301821e-06, -5.028593849e-07, -1.718701037e-06, 0, 0, 0
6, 18, 0, -1.00905093e-06, -2.549216552e-07, -1.012441379e-06, -2.468281098e-07, 0, 0, 0
6, 19, 0, -1.012441379e-06, -2.468281098e-07, -1.019222279e-06, -2.306410191e-07, 0, 0, 0
6, 20, 0, -1.019222279e-06, -2.306410191e-07, -1.022612728e-06, -2.225474738e-07, 0, 0, 0
7, 21, 0, -1.620662067e-06, -1.096937144e-06, -1.625477513e-06, -1.102588878e-06, 0, 0, 0
7, 22, 0, -1.625477513e-06, -1.102588878e-06, -1.635108407e-06, -1.113892346e-06, 0, 0, 0
7, 23, 0, -1.635108407e-06, -1.113892346e-06, -1.639923853e-06, -1.11954408e-06, 0, 0, 0
8, 24, 0, -9.051657441e-07, -1.079638256e-06, -9.0599846e-07, -1.089728956e-06, 0, 0, 0
8, 25, 0, -9.0599846e-07, -1.089728956e-06, -9.076638918e-07, -1.109910354e-06, 0, 0, 0
8, 26, 0, -9.076638918e-07, -1.109910354e-06, -9.084966078e-07, -1.120001053e-06, 0, 0, 0
9, 27, 0, -9.634032112e-07, -7.106090649e-07, -9.691749821e-07, -7.141089448e-07, 0, 0, 0
9, 28, 0, -9.691749821e-07, -7.141089448e-07, -9.807185241e-07, -7.211087048e-07, 0, 0, 0
9, 29, 0, -9.807185241e-07, -7.211087048e-07, -9.864902951e-07, -7.246085848e-07, 0, 0, 0
#--------------------------------------------------
Time (s): 0.7
# NucRegions: 
# xmin, ymin, xmax, ymax
!NC, -1e-06, -1e-06, 1e-06
nActin: 10 nSubunits: 30
# actinID, SubunitID, birthtime (s), xStart (m), yStart (m), xEnd (m), yEnd (m), pointed capped, barbed capped, branch
0, 0, 0, -7.94228394e-07, -8.684261844e-07, -7.970431356e-07, -8.646310751e-07, 0, 0, 0
0, 1, 0, -7.970431356e-07, -8.646310751e-07, -8.026726189e-07, -8.570408565e-07, 0, 0, 0
0, 2, 0, -8.026726189e-07, -8.570408565e-07, -8.054873606e-07, -8.532457473e-07, 0, 0, 0
1, 3, 0, -1.105202895e-06, -1.116660606e-06, -1.111359799e-06, -1.120810686e-06, 0, 0, 0
1, 4, 0, -1.111359799e-06, -1.120810686e-06, -1.123673607e-06, -1.129110844e-06, 0, 0, 0
1, 5, 0, -1.123673607e-06, -1.129110844e-06, -1.129830511e-06, -1.133260924e-06, 0, 0, 0
2, 6, 0, -1.109131756e-06, -7.681110983e-07, -1.113568443e-06, -7.664858495e-07, 0, 0, 0
